,Rank,Release Group,Worldwide,Domestic,%,Foreign,%
108,109,Street Dancer 3D,"$10,339,127 ",-,-,"$10,339,127 ",100%
109,110,My Spy,"$10,200,000 ",-,-,"$10,200,000 ",100%
110,111,The Asadas,"$10,066,797 ",-,-,"$10,066,797 ",100%
111,112,Beauty and the Beast 2020 Re-release,"$10,055,094 ","$467,000 ",4.60%,"$9,588,094 ",95.40%
112,113,Stolen Identity 2,"$9,687,188 ",-,-,"$9,687,188 ",100%
113,114,100% Wolf,"$9,639,795 ","$658,764 ",6.80%,"$8,981,031 ",93.20%
114,115,10 Days with Dad,"$9,472,077 ","$2,359 ",<0.1%,"$9,469,718 ",100%
115,116,Secret Zoo,"$9,471,940 ",-,-,"$9,471,940 ",100%
116,117,365 Days,"$9,458,590 ",-,-,"$9,458,590 ",100%
117,118,Okay Madam,"$9,433,525 ",-,-,"$9,433,525 ",100%
118,119,L'appel de la forêt,"$9,317,347 ",-,-,"$9,317,347 ",100%
119,120,Inception 10th Anniversary re-release,"$9,100,000 ",-,-,"$9,100,000 ",100%
120,121,The Closet,"$9,039,424 ",-,-,"$9,039,424 ",100%
121,122,Malasaña 32,"$8,968,845 ",-,-,"$8,968,845 ",100%
122,123,Break the Silence: The Movie,"$8,954,345 ",-,-,"$8,954,345 ",100%
123,124,I Hate Summer,"$8,926,071 ",-,-,"$8,926,071 ",100%
124,125,Downhill,"$8,899,195 ","$8,287,061 ",93.10%,"$612,134 ",6.90%
125,126,Les blagues de Toto,"$8,859,185 ",-,-,"$8,859,185 ",100%
126,127,The Secret Garden,"$8,721,243 ",-,-,"$8,721,243 ",100%
127,128,Eltilerin Savasi,"$8,613,864 ",-,-,"$8,613,864 ",100%
128,129,Malang,"$8,399,765 ",-,-,"$8,399,765 ",100%
129,130,Your Eyes Tell,"$8,020,474 ",-,-,"$8,020,474 ",100%
130,131,"My Donkey, My Lover & I","$7,973,799 ","$152,184 ",1.90%,"$7,821,615 ",98.10%
131,132,AI Amok,"$7,932,191 ",-,-,"$7,932,191 ",100%
132,133,The Lost Prince,"$7,837,980 ",-,-,"$7,837,980 ",100%
133,134,Antebellum,"$7,792,716 ",-,-,"$7,792,716 ",100%
134,135,The Marriage Escape,"$7,760,946 ",-,-,"$7,760,946 ",100%
135,136,Spirited Away Studio Ghibli Fest 2020,"$7,732,435 ",-,-,"$7,732,435 ",100%
136,137,Princess Mononoke Studio Ghibli Fest 2020,"$7,673,207 ",-,-,"$7,673,207 ",100%
137,138,The Heist of the Century,"$7,627,100 ",-,-,"$7,627,100 ",100%
138,139,De Gaulle,"$7,501,454 ",-,-,"$7,501,454 ",100%
139,140,Fukushima 50,"$7,494,243 ",-,-,"$7,494,243 ",100%
140,141,The Best Years,"$7,354,499 ",-,-,"$7,354,499 ",100%
141,142,Mamma Mia! Here We Go Again 2020 Re-release,"$7,220,137 ",-,-,"$7,220,137 ",100%
142,143,The (UN)perfect Guy,"$7,154,649 ",-,-,"$7,154,649 ",100%
143,144,Bohemian Rhapsody 2020 Re-release,"$7,154,052 ","$240,000 ",3.40%,"$6,914,052 ",96.60%
144,145,Back to the Wharf,"$7,090,000 ",-,-,"$7,090,000 ",100%
145,146,Adu,"$7,085,946 ",-,-,"$7,085,946 ",100%
146,147,Fatale,"$7,031,289 ","$6,306,897 ",89.70%,"$724,392 ",10.30%
147,148,Spycies,"$6,989,285 ",-,-,"$6,989,285 ",100%
148,149,Dragon Rider,"$6,974,141 ",-,-,"$6,974,141 ",100%
149,150,Jim Button and the Wild 13,"$6,940,093 ",-,-,"$6,940,093 ",100%
150,151,Psy 3: W imie zasad,"$6,725,146 ",-,-,"$6,725,146 ",100%
151,152,Blood Moon Party,"$6,709,383 ",-,-,"$6,709,383 ",100%
152,153,Innocence,"$6,659,968 ",-,-,"$6,659,968 ",100%
153,154,Shubh Mangal Zyada Saavdhan,"$6,574,905 ",-,-,"$6,574,905 ",100%
154,155,Chhapaak,"$6,532,100 ","$604,334 ",9.30%,"$5,927,766 ",90.70%
155,156,"Love Me, Love Me Not","$6,494,241 ",-,-,"$6,494,241 ",100%
156,157,Hammamet,"$6,434,874 ",-,-,"$6,434,874 ",100%
157,158,Lindenberg! Mach dein Ding,"$6,404,964 ",-,-,"$6,404,964 ",100%
158,159,Midnight Swan,"$6,397,065 ",-,-,"$6,397,065 ",100%
159,160,Nausicaä of the Valley of the Wind 2020 Re-release,"$6,395,525 ",-,-,"$6,395,525 ",100%
160,161,Simply Black,"$6,323,750 ",-,-,"$6,323,750 ",100%
161,162,My Boyfriend's Meds,"$6,292,780 ","$2,971,116 ",47.20%,"$3,321,664 ",52.80%
162,163,Bill & Ted Face the Music,"$6,274,027 ","$3,439,660 ",54.80%,"$2,834,367 ",45.20%
163,164,Hotel Belgrade,"$6,199,413 ",-,-,"$6,199,413 ",100%
164,165,How to Be a Good Wife,"$6,029,102 ",-,-,"$6,029,102 ",100%
